,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
134,"Sun, Apr 29, 2018",1:00 pm,Indiana Pacers,101.0,Cleveland Cavaliers,105.0,Box Score,,20562.0,
135,"Sun, Apr 29, 2018",3:30 pm,Utah Jazz,96.0,Houston Rockets,110.0,Box Score,,18055.0,
136,"Mon, Apr 30, 2018",8:00 pm,Philadelphia 76ers,101.0,Boston Celtics,117.0,Box Score,,18624.0,
137,"Tue, May 1, 2018",10:30 pm,New Orleans Pelicans,116.0,Golden State Warriors,121.0,Box Score,,19596.0,
138,"Tue, May 1, 2018",8:00 pm,Cleveland Cavaliers,113.0,Toronto Raptors,112.0,Box Score,OT,19954.0,
139,"Wed, May 2, 2018",8:00 pm,Utah Jazz,116.0,Houston Rockets,108.0,Box Score,,18055.0,
140,"Thu, May 3, 2018",8:30 pm,Philadelphia 76ers,103.0,Boston Celtics,108.0,Box Score,,18624.0,
141,"Thu, May 3, 2018",6:00 pm,Cleveland Cavaliers,128.0,Toronto Raptors,110.0,Box Score,,20127.0,
142,"Fri, May 4, 2018",8:00 pm,Golden State Warriors,100.0,New Orleans Pelicans,119.0,Box Score,,18551.0,
143,"Fri, May 4, 2018",10:30 pm,Houston Rockets,113.0,Utah Jazz,92.0,Box Score,,18306.0,
144,"Sat, May 5, 2018",8:30 pm,Toronto Raptors,103.0,Cleveland Cavaliers,105.0,Box Score,,20562.0,
145,"Sat, May 5, 2018",5:00 pm,Boston Celtics,101.0,Philadelphia 76ers,98.0,Box Score,OT,20758.0,
146,"Sun, May 6, 2018",3:30 pm,Golden State Warriors,118.0,New Orleans Pelicans,92.0,Box Score,,18513.0,
147,"Sun, May 6, 2018",8:00 pm,Houston Rockets,100.0,Utah Jazz,87.0,Box Score,,18306.0,
148,"Mon, May 7, 2018",8:30 pm,Toronto Raptors,93.0,Cleveland Cavaliers,128.0,Box Score,,20562.0,
149,"Mon, May 7, 2018",6:00 pm,Boston Celtics,92.0,Philadelphia 76ers,103.0,Box Score,,20936.0,
150,"Tue, May 8, 2018",10:30 pm,New Orleans Pelicans,,Golden State Warriors,,,,,
151,"Tue, May 8, 2018",8:00 pm,Utah Jazz,,Houston Rockets,,,,,
152,"Wed, May 9, 2018",8:00 pm,Philadelphia 76ers,,Boston Celtics,,,,,
153,"Thu, May 10, 2018",,Golden State Warriors,,New Orleans Pelicans,,,,,
154,"Thu, May 10, 2018",,Houston Rockets,,Utah Jazz,,,,,
155,"Fri, May 11, 2018",8:00 pm,Boston Celtics,,Philadelphia 76ers,,,,,
156,"Sun, May 13, 2018",,Philadelphia 76ers,,Boston Celtics,,,,,
157,"Mon, May 14, 2018",,New Orleans Pelicans,,Golden State Warriors,,,,,
158,"Mon, May 14, 2018",,Utah Jazz,,Houston Rockets,,,,,
